timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct
1h,500,5,KRW-XRP,0.5981596949531687,7.682248497670008e-50,-1.136362632304684,0.8737866321008898,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.241806317864271,0.19142341666203866,-3.4436840273842058,-2.8674204319994674,-2.5699020441557052,-896.5004169653985,3.208062793724325e-05,493,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-XRP,0.54727214335849,2.0819622785844385e-40,-1.126886654477555,0.8760212456892718,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.072009440654264,0.25591764373296844,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,-512.9172237550229,2.9694902726434e-05,489,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-CRO,-0.06985830588907263,0.11874194389475293,-1.3318108155070034,0.8199303500666656,-3.91852234143638,-3.348402090875137,-3.052960322448504,0.5702436141402389,0.9868587527220626,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,281.8102420708824,-4.07860755816173e-07,482,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-CRO,-0.08162102753728624,0.06821600944031214,-1.451205823206358,0.7794233514776845,-3.91852234143638,-3.348402090875137,-3.052960322448504,0.4954449634301968,0.9847339901037641,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,293.359680778075,-4.794935499149129e-07,482,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-CRO,-0.12357216630280116,0.005660018175976231,-1.4987906806711768,0.7616555052051945,-3.91852234143638,-3.348402090875137,-3.052960322448504,0.2680137615837822,0.9758284337578185,-3.4439899743408136,-2.8675550551408353,-2.569973792117904,334.46232479229,-7.344364484102123e-07,482,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-SOL,-0.0746658823829115,0.09536939621795977,-0.9834456758182128,0.9059421670139681,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.03307825970829,0.2722603557192115,-3.4435228622952065,-2.867349510566146,-2.569864247011056,319027.0535078002,-0.00036743487218835955,499,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-SOL,-0.07307115396525682,0.10267665832267404,-1.314229239234984,0.8254007325170166,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.028633503891637,0.2741611128387553,-3.4435228622952065,-2.867349510566146,-2.569864247011056,318127.92906581983,-0.0003618186734759242,499,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-SOL,-0.07219866416217756,0.10685852823235353,-1.174744917005335,0.8643904764763753,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.0341260082480868,0.27181332481469944,-3.4435228622952065,-2.867349510566146,-2.569864247011056,318116.31229778007,-0.0003616821063755389,499,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1h,500,3,KRW-BERA,-0.44629194697818325,7.598510059288414e-26,-2.336357712311529,0.35555780489836974,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.578104351228394,0.09760761891686964,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,10458.942481990307,-4.590802637288526e-05,496,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-BERA,-0.44178986438703016,2.652176883617476e-25,-2.4621492154759945,0.29601253045572207,-3.91852234143638,-3.348402090875137,-3.052960322448504,-2.5122226317629344,0.1125286792064294,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,10430.49607605947,-4.572694228245194e-05,494,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
